,t,temp,depth,so2_emitted,so2_pool,so2_oxidised,so4_pool,so4_removed,d34S_so2_pool,d34S_so4_pool,d33S_so4_pool,D33S_so4_pool,f_volc,d34S_so4_tot,d33S_so4_tot,D33S_so4_tot
0,0,8.213328206730825,0.0,1.1428571428571428,1.0871193422865302,0.05573780057061255,0.04918843636044347,0.006549364210169077,-0.043985770994847684,11.109989047339619,5.575803499215937,-0.13050995800845122,0.005830009531789846,8.490995725328485,7.601444952648607,-0.06395167991035305
1,1,8.213328206730825,0.0,1.1428571428571428,2.121219248613341,0.1087572365303319,0.139386567102749,0.0185591057880264,-0.3090360607017617,10.841982263331884,5.438526635577423,-0.13049214135296694,0.01652065149739119,8.514730988600325,7.577394650301934,-0.06466710896280685
2,2,8.213328206730825,0.0,1.1428571428571428,3.104885507384836,0.1591908840856482,0.26349367585536376,0.03508377533303343,-0.5694666630814416,10.578646696794314,5.303625241011023,-0.13047463300064344,0.031230320690545023,8.541315084099091,7.541191090888549,-0.0656510916915287
3,3,8.213328206730825,0.0,1.1428571428571428,4.040577796616815,0.20716485362516354,0.4153546944415859,0.05530383503894146,-0.825286893767263,10.31997292818243,5.171095389732816,-0.13045743244233243,0.04922949389819297,8.566433133430673,7.493094050494259,-0.06685462834541582
4,4,8.213328206730825,0.0,1.1428571428571428,4.930635834412707,0.2527991050612516,0.5896436585113829,0.07851014099145459,-1.076508280195121,10.065949301477861,5.040931992141395,-0.13044053901722918,0.06988691659744004,8.586779423396559,7.4335471891411276,-0.06823534797550394
5,5,8.213328206730825,0.0,1.1428571428571428,5.777285229477527,0.2962077477923224,0.7817611222132279,0.1040902840904774,-1.3231445447122736,9.816561941267787,4.913128802960687,-0.13042395191487088,0.09265744413357796,8.599884068254182,7.363130555722091,-0.06975668503950429
6,6,8.213328206730825,0.0,1.1428571428571428,6.582643046298914,0.33749932603575605,0.9877438787651741,0.13151656948380971,-1.5652115838301617,9.571794773724163,4.7876784314260235,-0.1304076701758028,0.11707134144233493,8.603966040918593,7.282521631147705,-0.07138715514759437
7,7,8.213328206730825,0.0,1.1428571428571428,7.348723098911073,0.3767770902449836,1.2041855286631948,0.16033544034696276,-1.802727443689478,9.331629551410758,4.664572353475949,-0.13039169269424278,0.1427248684773302,8.597808793195453,7.19246356469191,-0.07309971815808704
8,8,8.213328206730825,0.0,1.1428571428571428,8.077440986478813,0.4141392552894019,1.4281666092140513,0.1901581747385455,-2.035712291821312,9.096045881838544,4.543800925914443,-0.13037601821785927,0.16927199888382133,8.580655209008873,7.09373945681175,-0.07487121822640277
9,9,8.213328206730825,0.0,1.1428571428571428,8.77061888329325,0.44967924604270454,1.6571931507954076,0.22065270446134824,-2.264188385295962,8.865021259671924,4.425353402486509,-0.13036064535287828,0.19641713744175154,8.552119087424114,6.987151711908489,-0.07668189164303381
10,10,8.213328206730825,0.0,1.1428571428571428,9.429990095156663,0.48348593099372933,1.889142659106549,0.2515364226825877,-2.4881800353673267,8.638531102477254,4.309217951822708,-0.13034557256275114,0.22390871766680207,8.512110743546264,6.873505630475153,-0.07851493437880244
