,t,temp,depth,so2_emitted,so2_pool,so2_oxidised,so4_pool,so4_removed,d34S_so2_pool,d34S_so4_pool,d33S_so4_pool,D33S_so4_pool,f_volc,d34S_so4_tot,d33S_so4_tot,D33S_so4_tot,so4_norm
0,0.0,10.08536343363192,60.16999999999999,1.1428571428571423,1.0871193422865304,0.055737800570612527,0.049188436360443476,0.006549364210169076,0.5544805319373469,-0.5625973655382643,-0.25677105493921354,0.044125210494172576,0.0058300095317898445,8.422944435280765,7.567440987403007,-0.06293355521339705,0.006072926595614425
1,1.0,10.08536343363192,60.16883295194507,1.1428571428571423,2.12121924861334,0.10875723653033191,0.139386567102749,0.018559105788026393,0.5810427746797943,-0.536093387065878,-0.24311048275894517,0.044126052250893805,0.01652065149739119,8.326757766069152,7.483530303535258,-0.06178230264117349,0.017209011976449157
2,2.0,10.08536343363192,60.167665903890146,1.1428571428571423,3.104885507384836,0.1591908840856482,0.26349367585536376,0.035083775333033425,0.6071532838985383,-0.510040151211737,-0.22968256728201844,0.04412687967165156,0.03123032069054503,8.195011837798834,7.36838411355606,-0.06019823045771867,0.03253158405265107
3,3.0,10.08536343363192,60.16649885583523,1.1428571428571423,4.040577796616814,0.2071648536251635,0.415354694441586,0.055303835038941436,0.6328125546027019,-0.48443716405361265,-0.21648703659379745,0.04412769277308578,0.04922949389819297,8.034537492721364,7.227866094311399,-0.05825989098890813,0.05128072281061768
4,4.0,10.08536343363192,60.165331807780305,1.1428571428571423,4.930635834412707,0.2527991050612516,0.589643658511383,0.07851014099145459,0.6580213075721296,-0.45928370639382493,-0.2035235030057785,0.044128491579089504,0.06988691659744005,7.851203342006809,7.067028365352792,-0.056035256693723064,0.07279887145566674
5,5.0,10.08536343363192,60.16416475972539,1.1428571428571423,5.7772852294775285,0.29620774779232234,0.7817611222132277,0.10409028409047737,0.682780488006618,-0.434578835106979,-0.19079146376279638,0.04412927612065751,0.09265744413357797,7.650039564461795,6.890214348745924,-0.05358302906446662,0.09651817097247706
6,6.0,10.08536343363192,60.16299771167047,1.1428571428571423,6.582643046298914,0.33749932603575594,0.9877438787651742,0.13151656948380966,0.7070912637800487,-0.4103213848819942,-0.178290301952485,0.04413004643577232,0.11707134144233494,7.43534631179736,6.70114900997039,-0.05095379053159518,0.12194931400243222
7,7.0,10.08536343363192,60.16183066361555,1.1428571428571423,7.348723098911073,0.3767770902449837,1.2041855286631948,0.16033544034696276,0.730955023305373,-0.3865099703525021,-0.1660192876137793,0.044130802569451705,0.14272486847733018,7.210788608107447,6.503018008049688,-0.04819101797524076,0.14867173799721906
8,8.0,10.08536343363192,60.16066361556063,1.1428571428571423,8.077440986478814,0.4141392552894016,1.4281666092140515,0.19015817473854552,0.7543733730179712,-0.36314298860785743,-0.1539775790411008,0.044131544573516715,0.16927199888382138,6.979479401088814,6.298537098964475,-0.0453319742523626,0.176324998837314
9,9.0,10.08536343363192,60.159496567505705,1.1428571428571423,8.770618883293249,0.4496792460427045,1.6571931507954083,0.22065270446134821,0.7773481344861954,-0.3402186220763926,-0.14216422427902262,0.04413227250663146,0.1964171374417516,6.744052220386461,6.090012974444461,-0.04240849221321022,0.20460118483515793
10,10.0,10.08536343363192,60.15832951945079,1.1428571428571423,9.429990095156665,0.4834859309937293,1.8891426591065488,0.25153642268258775,0.7998813411588678,-0.317734841770655,-0.13057816280297868,0.044132986434155044,0.2239087176668021,6.506724720886864,5.879396575747266,-0.0394476639734537,0.23323824756958564
11,11.0,10.08536343363192,60.157162471395864,1.1428571428571423,10.057203393549836,0.5156438444639695,2.1222166407782224,0.28256986279229673,0.8219752347610586,-0.2956894108838149,-0.11921822737974347,0.044133686427988865,0.25153357495644757,6.269354232818857,5.6683297966782265,-0.03647244670178075,0.26201414057963307
12,12.0,10.08536343363192,60.15599542334095,1.1428571428571423,10.653827138419569,0.5462333979874099,2.354898893912413,0.31355114485321817,0.8436322613502467,-0.27407988872479977,-0.10808314610170573,0.04413437256653061,0.27911200301848677,6.03348630353496,5.458186379824895,-0.03350219485356722,0.29074166981092386
13,13.0,10.08536343363192,60.15482837528603,1.1428571428571423,11.221353199895464,0.575331081381246,2.58591887705719,0.34431109823646927,0.8648550670463261,-0.25290363497899593,-0.0971715445880097,0.04413504493445171,0.3064934122159357,5.800397095529482,5.2501077129637395,-0.030553127608619928,0.3192639710582663
14,14.0,10.08536343363192,60.153661327231106,1.1428571428571423,11.761200688742335,0.6030096540102686,2.814219551230677,0.3747089798367825,0.8856464934494213,-0.2321578142802206,-0.0864819483451374,0.04413570362257997,0.3335525180755364,5.571130399578092,5.0450341472505835,-0.027638739236230864,0.34745053966201705
15,15.0,10.08536343363192,60.15249427917619,1.1428571428571423,12.2747195048763,0.629338326723175,3.0389291611650577,0.4046287167887951,0.906009572761248,-0.2118394010788549,-0.076012785279202,0.044136348727848815,0.3601859966883216,5.346529929077351,4.843732383728608,-0.024770159198039286,0.37519374655033494
16,16.0,10.08536343363192,60.151327231121265,1.1428571428571423,12.763193712817703,0.6543829349157406,3.259336485069525,0.433975611011274,0.9259475226253968,-0.19194518479012765,-0.06576238835187666,0.04413698035291137,0.38630955121286986,5.127267480158539,4.646819408644609,-0.021956467994056764,0.40240578251340664
17,17.0,10.08536343363192,60.15016018306635,1.1428571428571423,13.227844752521241,0.6782061031536005,3.4748691379018397,0.46267345032128565,0.9454637407037181,-0.17247177520583798,-0.05572899837102045,0.04413759860618835,0.4118553402925744,4.913867470573758,4.4547833999702,-0.01920497404638505,0.4290159794714316
18,18.0,10.08536343363192,60.14899313501143,1.1428571428571423,13.669834493612107,0.7008674017662843,3.685074562266436,0.49066197740168765,0.964561799005923,-0.15341560815233524,-0.04591076690740184,0.04413820360159164,0.4367697250211169,4.706728307497472,4.268001976424166,-0.016521456288944428,0.4549684635636638
19,19.0,10.08536343363192,60.147826086956506,1.1428571428571423,14.090268140665183,0.7224234958040655,3.889603384394836,0.5178946736756643,0.9832454379906207,-0.13477295137657383,-0.03630575932825993,0.0441387954583057,0.4610112962269309,4.506140979192612,4.086758115345074,-0.013910376578297917,0.4802201002363865
20,20.0,10.08536343363192,60.14665903890159,1.1428571428571423,14.49019699679222,0.7429282867301077,4.088194850892804,0.5443368202321411,1.0015185604559984,-0.11653991064197843,-0.026911957937998245,0.044139374300676486,0.4845491483784246,4.312305217025534,3.9112540262300235,-0.011375065553049351,0.5047386962275258
21,21.0,10.08536343363192,60.145491990846665,1.1428571428571423,14.870621092447163,0.7624330472021944,4.2806640956592625,0.5699638024357353,1.0193852252390068,-0.09871243601549452,-0.017727265216773008,0.04413994025790257,0.5073613704084626,4.1253435317601195,3.7416232319846188,-0.00891788513927947,0.5285014275088156
22,22.0,10.08536343363192,60.14432494279175,1.1428571428571423,15.232491686023225,0.7809865492810816,4.466891016125173,0.5947596288151703,1.0368496407421213,-0.08128632832650641,-0.00874950714663849,0.04414049346402091,0.5294337272818607,3.945313390699429,3.5779410793494906,-0.006540370519667549,0.5514934659186052
23,23.0,10.08536343363192,60.143157894736824,1.1428571428571423,15.576713642494315,0.7986351863860541,4.646810564194184,0.6187156383170418,1.0539161583071688,-0.06425724577862833,2.3563383807065907e-05,0.044141034057444115,0.5507585092389713,3.7722177694410677,3.4202338730744257,-0.00424335404985633,0.5737067804572619
