,t,temp,depth,so2_emitted,so2_pool,so2_oxidised,so4_pool,so4_removed,d34S_so2_pool,d34S_so4_pool,d33S_so4_pool,D33S_so4_pool,f_volc,d34S_so4_tot,d33S_so4_tot,D33S_so4_tot
0,0.0,5.520789333034086,60.30999999999996,0.0,0.0,6.938893903907228e-18,6.938893903907228e-18,8.673617379884035e-19,0.037170658770122836,0.7249827173091143,0.3785521285509404,0.06400218195417536,8.673617379884035e-19,0.004226656152295052,0.002206962517731264,0.0003731333308481912
1,0.0,5.520789333034086,60.307986270022845,0.0,4.440892098500626e-16,0.0,0.0,0.0,0.055272437688796056,0.7064910720871966,0.369259121156776,0.06399377547097373,3.469446951953614e-18,0.0116716927879708,0.006100401252864072,0.0010572188625582576
2,0.0,5.520789333034086,60.30597254004573,0.0,0.0,0.0,5.551115123125783e-17,0.0,0.07305276140660227,0.6883277398116985,0.36013584885904887,0.06398551441295351,0.0,0.021496696054517327,0.011247158052029683,0.0019982881346660296
3,0.0,5.520789333034086,60.30395881006861,0.0,0.0,0.0,5.551115123125783e-17,6.938893903907228e-18,0.09051250117696319,0.6704918330533904,0.3511821382065151,0.06397739854060695,0.0,0.0330079736040901,0.017288518929992055,0.003149574951077069
4,0.0,5.520789333034086,60.30194508009149,0.0,8.881784197001252e-16,5.551115123125783e-17,1.1102230246251565e-16,0.0,0.1076526769605061,0.6529823124471487,0.342397740842172,0.06396942754318906,1.3877787807814457e-17,0.04563492040959741,0.023929122357388775,0.004470626047496837
5,0.0,5.520789333034086,60.29993135011438,0.0,8.881784197001252e-16,0.0,1.1102230246251565e-16,1.3877787807814457e-17,0.12447445609334061,0.63579798805051,0.33378233417965786,0.06396160103911001,0.0,0.058911416558031456,0.030927417982026906,0.0059265184749755385
6,0.0,5.520789333034086,60.29791762013726,0.0,0.0,5.551115123125783e-17,0.0,2.7755575615628914e-17,0.14097915169689307,0.6189375209660942,0.32533552220854517,0.06395391857681605,0.0,0.07245984584849405,0.03808746600379692,0.007487171038281719
7,0.0,5.520789333034086,60.29590389016014,0.0,0.0,5.551115123125783e-17,0.0,0.0,0.157168220834275,0.6023994252231012,0.31705683642284477,0.06394637963527804,2.7755575615628914e-17,0.0859773787357863,0.04525189527828898,0.009126738623046485
8,0.0,5.520789333034086,60.293890160183025,0.0,0.0,5.551115123125783e-17,4.440892098500626e-16,2.7755575615628914e-17,0.17304326241916784,0.5861820699117991,0.3089457368686252,0.06393898362489873,5.551115123125783e-17,0.09922421068382607,0.05229586242638726,0.01082307956478653
9,0.0,5.520789333034086,60.29187643020591,0.0,0.0,5.551115123125783e-17,0.0,5.551115123125783e-17,0.18860601488414896,0.5702836815635186,0.30100161330438424,0.06393172988876163,2.7755575615628914e-17,0.1120134882624497,0.059121875250596215,0.012557287376449826
10,0.0,5.520789333034086,60.289862700228795,0.0,1.7763568394002505e-15,0.0,0.0,0.0,0.20385835361590962,0.5547023467691174,0.2932237864674411,0.06392461770324649,0.0,0.12420269115183885,0.06565536201732887,0.014313279177274475
