,t,temp,depth,so2_emitted,so2_pool,so2_oxidised,so4_pool,so4_removed,d34S_so2_pool,d34S_so4_pool,d33S_so4_pool,D33S_so4_pool,f_volc,d34S_so4_tot,d33S_so4_tot,D33S_so4_tot,so4_norm
0,0.0,5.777681945061442,60.239999999999974,4.440892098500626e-16,2.220446049250313e-16,2.0816681711721685e-17,6.938893903907228e-18,8.673617379884035e-19,0.03429223547083441,0.6688414700424166,0.3416307296226528,0.0715463276267115,1.734723475976807e-18,0.003899352145603633,0.001991710410052411,0.00041711577202828773,8.0426496337911625e-19
1,0.0,5.777681945061442,60.23851258581233,4.440892098500626e-16,8.881784197001252e-16,1.3877787807814457e-17,0.0,6.938893903907228e-18,0.0509919744406541,0.6517764472980023,0.3331257376250396,0.07153655942732688,0.0,0.010767771540018057,0.0055034542161146545,0.0011818305676212816,6.43411970703293e-18
2,0.0,5.777681945061442,60.23702517162469,4.440892098500626e-16,0.0,0.0,0.0,6.938893903907228e-18,0.06739497829081327,0.6350145880596622,0.32477972752732875,0.07152696029546447,6.938893903907228e-18,0.019831709228277535,0.010142975044466327,0.002233809908047237,6.43411970703293e-18
3,0.0,5.777681945061442,60.235537757437044,4.440892098500626e-16,8.881784197001252e-16,5.551115123125783e-17,1.1102230246251565e-16,2.0816681711721685e-17,0.08350205788344732,0.6185550661877622,0.3165926292044931,0.0715175299500044,0.0,0.030451152856586835,0.015585694907635467,0.0035207718042875747,1.930235912109879e-17
4,0.0,5.777681945061442,60.2340503432494,4.440892098500626e-16,0.0,0.0,1.1102230246251565e-16,0.0,0.09931416119516256,0.6023969154044102,0.3085643066319949,0.07150826802729035,1.3877787807814457e-17,0.04209966298542317,0.02156460796253716,0.00499749236365063,0.0
5,0.0,5.777681945061442,60.23256292906176,4.440892098500626e-16,1.7763568394002505e-15,5.551115123125783e-17,2.220446049250313e-16,2.7755575615628914e-17,0.11483237208331887,0.5865390305522994,0.300694558540543,0.07149917408114524,1.3877787807814457e-17,0.054347207455562645,0.02786158925924128,0.006624930728020681,2.573647882813172e-17
6,0.0,5.777681945061442,60.231075514874114,4.440892098500626e-16,0.0,1.1102230246251565e-16,1.1102230246251565e-16,5.551115123125783e-17,0.13005790881391224,0.5709801690971745,0.2929831191759898,0.07149024758413865,1.3877787807814457e-17,0.06684541433317742,0.03429992678189262,0.008369459184719754,5.147295765626344e-17
7,0.0,5.777681945061442,60.22958810068647,4.440892098500626e-16,0.0,5.551115123125783e-17,0.0,0.0,0.1449921223558044,0.5557189528692529,0.2854296591577597,0.07148148792819888,2.7755575615628914e-17,0.0793149144586238,0.04073791056282042,0.01020218596311605,0.0
8,0.0,5.777681945061442,60.22810068649883,4.440892098500626e-16,1.7763568394002505e-15,2.7755575615628914e-16,2.220446049250313e-16,2.7755575615628914e-17,0.1596364944467908,0.5407538700376511,0.27803378642844595,0.07147289442553674,5.551115123125783e-17,0.09153448848543529,0.04706333478598057,0.012098359705422933,2.573647882813172e-17
9,0.0,5.777681945061442,60.226613272311184,4.440892098500626e-16,1.7763568394002505e-15,5.551115123125783e-17,6.661338147750939e-16,2.7755575615628914e-17,0.17399263543806986,0.5260832773116053,0.2707950472868461,0.07146446631003907,5.551115123125783e-17,0.10333177138552073,0.05318878802148605,0.014036845901420363,2.573647882813172e-17
