,runname,datetime,rmse_d34S,rmse_D33S,laki_bottom_bcg_d34S,Laki1_d34S,Laki2-3_d34S,Laki6_d34S,Laki7_d34S,Laki8_d34S,Laki9_d34S,Laki10_d34S,Laki11_d34S,Laki12_d34S,Laki13_d34S,Laki14_d34S,Laki15_d34S,Laki16_d34S,Laki17-18_d34S,Laki19_d34S,Laki20-21_d34S,laki_top_bcg_d34S,laki_bottom_bcg_D33S,Laki1_D33S,Laki2-3_D33S,Laki6_D33S,Laki7_D33S,Laki8_D33S,Laki9_D33S,Laki10_D33S,Laki11_D33S,Laki12_D33S,Laki13_D33S,Laki14_D33S,Laki15_D33S,Laki16_D33S,Laki17-18_D33S,Laki19_D33S,Laki20-21_D33S,laki_top_bcg_D33S
11,0-TMI_0-OH_100-H2O2_outlier_rem_so2halfrestime,20241210_150854,1.7867478630001512,0.1245453199679612,0.2033039063276902,-2.446696094,0.7233039063276898,3.766521433270427,2.609260034812292,1.0184826579448156,-1.033494578,-1.889072451,-1.851647864,-1.537757567,-2.28800552,-1.427939197,-0.324615625,1.0380949695252122,,0.7634490699529302,1.0790910224891732,0.6255912674622017,-0.023549198,-0.053549198,0.1564508016851483,0.008602073,0.073093602,0.006281173,-0.089685337,-0.223597915,-0.184667693,-0.153488296,-0.213779566,-0.083608185,0.1283022220808722,-0.023627958,-0.103633867,0.006465513,0.056440651,-0.003561367
12,0-TMI_0-OH_100-H2O2_outlier_rem,20241210_151027,3.580594513265803,0.1258572594854284,0.1701718567746084,-2.479828143,0.690171857,7.582722594046034,5.011497953371651,2.6374329148409474,-0.342601182,-2.240534478,-3.108493706,-3.473154964,-4.689509347,-4.107823816,-2.856491581,-1.678206646,,-0.628610273,0.143838188,0.5947812429706278,-0.023528266,-0.053528266,0.156471734,0.010419985,0.072291951,0.000305001,-0.095999123,-0.217162677,-0.192709077,-0.152887137,-0.222564945,-0.082297138,0.126345579,-0.023571022,-0.104083153,0.006249148,0.056467549,-0.003561353
13,0-TMI_100-OH_0-H2O2_outlier_rem,20241210_151101,2.7164309604562527,0.1465534219394231,0.1368959045992426,-2.513104095,0.6568959045992422,6.211749708292899,4.165004264038262,2.1847821173638704,-0.320060321,-1.793023077,-2.325374624,-2.435574454,-3.451080784,-2.680823698,-1.176604514,-0.248150569,,-0.145202146,0.4549684235232698,0.604583161,-0.023903613,-0.053903613,0.156096387,-0.035779098,0.016816338,-0.055213916,-0.138616204,-0.266228082,-0.220026134,-0.19489232,-0.249789058,-0.109529486,0.1059960745418037,-0.031555923,-0.107085622,0.005034449,0.055657511,-0.003570482
14,testconfigs_equal,20250203_105120,2.275648279776337,0.1156056246489237,0.1178839301367968,-2.53211607,0.6378839301367965,5.421212178,3.674966935463521,1.920992196540613,-0.310644092,-1.538777591,-1.877364226,-1.840364269,-2.739546251,-1.860119977,-0.20976471,0.5770461374298375,,0.1357385722724364,0.6362417940247544,0.6103978941819772,-0.023381959,-0.053381959,0.1566180406819002,0.041617635,0.095221534,0.026086588,-0.064710635,-0.196829049,-0.169779158,-0.133215901,-0.196929095,-0.070797685,0.1352530563441809,-0.019452077,-0.101210482,0.007184234,0.056856663,-0.003554173
15,testconfigs_equal,20250203_105216,2.2835611780903844,0.1157181250653742,0.1182505420034303,-2.531749458,0.6382505420034299,5.436501126601119,3.684456152711306,1.926111070927784,-0.310804067,-1.543671196,-1.88600675,-1.851856547,-2.753291401,-1.875979155,-0.228452123,0.5610831934817977,,0.1302915668330255,0.6327243679412815,0.6102844155951566,-0.023384394,-0.053384394,0.1566156057130244,0.041278565,0.094834526,0.025688294,-0.065097837,-0.197187468,-0.170097703,-0.133488108,-0.197151298,-0.070967808,0.1351361492144831,-0.019506035,-0.101241145,0.007174638,0.056851318,-0.003554261
16,testconfigs_mixed,20250203_105248,1.5964056626543757,0.1084843672050514,0.058907137,-2.591092863,0.5789071369513046,3.297768011409164,2.539063155527459,1.473644242,0.016975245,-0.568590586,-0.439504826,-0.076727083,-0.746325772,0.3243927733041021,2.248593559667144,2.599725115169644,,0.7983039203149644,1.0595617266721664,0.6231877981305249,-0.022788566,-0.052788566,0.1572114343280283,0.1143676262855636,0.1738791921481552,0.1041049960663398,0.008284864,-0.131732693,-0.113963267,-0.087260593,-0.16083339,-0.044139047,0.1529481395373279,-0.011711775,-0.096965641,0.008421838,0.057520318,-0.003545851
17,testconfigs_TMI,20250203_105350,1.7308212856735266,0.1088428545035311,0.047534601,-2.602465399,0.5675346005952342,2.448331493450586,1.8193002350225973,0.9104800971202526,-0.299037599,-0.607918937,-0.216200984,0.377505315,-0.080801125,1.2121027475957993,3.4141778977948816,3.684301290314129,,1.206998379607139,1.3305335811411023,0.6333925868411558,-0.022722244,-0.052722244,0.1572777564021857,0.1339987732955168,0.2007796842346114,0.1347906236540852,0.041040995,-0.098869562,-0.08265478,-0.05870526,-0.136042121,-0.024103226,0.1674551063982997,-0.00448138,-0.092661674,0.009885666,0.058368522,-0.003528468
18,testconfigs_equal,20250203_112552,7.325831667161393,0.115741332,0.1771516171640037,-2.472848383,0.6971516171640033,13.62134026217085,13.022675772302238,11.534410855456713,9.027453274,7.098118376672901,5.7923361979058665,4.707564006053305,2.599081248419205,2.219362671917276,2.582118611173639,1.85479651,,0.3591395098060195,0.7599516183925363,0.612348943,-0.023384891,-0.053384891,0.1566151089665564,0.041209094,0.094755165,0.025606579,-0.065177319,-0.197261081,-0.170163163,-0.133544081,-0.197197025,-0.071002863,0.1351119939093001,-0.019517246,-0.101247539,0.007172622,0.056850191,-0.00355428
19,testconfigs_equal,20250203_112627,2.273280827,0.1158339874622383,0.1177741299265235,-2.53222587,0.6377741299265232,5.416625951063884,3.6721185415402697,1.91945393,-0.310599653,-1.537313421,-1.874775249,-1.836919983,-2.735425662,-1.855364808,-0.204160837,0.5818351374925506,,0.1373747001621517,0.6372987825486147,0.6104320993580892,-0.023386873,-0.053386873,0.1566131273775476,0.040932187,0.094438891,0.025280956,-0.065494015,-0.197554363,-0.170423936,-0.133767031,-0.197379139,-0.07114244,0.1350158644041068,-0.019561816,-0.101272945,0.007164623,0.056845723,-0.003554355
20,testconfigs_WillOptimal,20250605_115153,3.5890045373874915,0.1623107083803354,0.1357020133341642,-2.514297987,0.6557020133341638,6.162164231958295,1.7249211174170085,-1.314509942,-4.067077984,-5.123402596,-4.778295946,-3.7078474,-3.322944943,-0.206214576,3.425760852842121,4.463215569219078,,1.6326662148773288,1.6229327228021369,0.645067593,-0.023925419,-0.053925419,0.156074581,-0.034136197,0.003459606,-0.072820686,-0.165273997,-0.294057328,-0.259926093,-0.213498586,-0.265187692,-0.123856641,0.09848677,-0.036694227,-0.111113418,0.00401865,0.055074867,-0.003585694
21,testconfigs_WillOptimal,20250605_130059,6.348921973429702,0.1256547394217246,0.1365365420745838,-2.513463458,0.6565365420745835,10.596536542074585,10.496536542074583,9.476536542074584,7.626536542074583,6.356536542074584,5.636536542074584,5.056536542074584,3.396536542074584,3.456536542074584,4.346536542074584,3.536536542074584,,0.9765365420745836,1.1665365420745832,0.6365365420745839,-0.024062599,-0.054062599,0.1559374007561278,0.015937401,0.065937401,-0.004062599,-0.094062599,-0.224062599,-0.194062599,-0.154062599,-0.214062599,-0.084062599,0.1259374007561278,-0.024062599,-0.104062599,0.005937401,0.055937401,-0.004062599
