,t,temp,depth,so2_emitted,so2_pool,so2_oxidised,so4_pool,so4_removed,d34S_so2_pool,d34S_so4_pool,d33S_so4_pool,D33S_so4_pool,f_volc,d34S_so4_tot,d33S_so4_tot,D33S_so4_tot,so4_norm
0,0.0,9.527489702927772,60.20999999999998,1.1428571428571423,1.0871193422865304,0.055737800570612527,0.049188436360443476,0.006549364210169076,0.24484520061052392,5.476581688795473,2.775890752227151,-0.028666890278960154,0.0058300095317898445,8.458152906731717,7.585121434645483,-0.0633579338547434,0.006072926595614425
1,1.0,9.527489702927772,60.20848970251714,1.1428571428571423,2.12121924861334,0.10875723653033191,0.139386567102749,0.018559105788026393,0.12048888102065725,5.351562891643327,2.711680010615495,-0.028664922182358908,0.01652065149739119,8.424025683586132,7.532345367524101,-0.06298485696194076,0.017209011976449157
2,2.0,9.527489702927772,60.2069794050343,1.1428571428571423,3.104885507384836,0.1591908840856482,0.26349367585536376,0.035083775333033425,-0.0017229222849968195,5.22870003711176,2.648572736629531,-0.028662987921932222,0.03123032069054503,8.374234534239895,7.458272949726479,-0.06247148136568859,0.03253158405265107
3,3.0,9.527489702927772,60.205469107551465,1.1428571428571423,4.040577796616814,0.2071648536251635,0.415354694441586,0.055303835038941436,-0.1217936778998574,5.1079896380528105,2.5865673388592643,-0.028661087448537004,0.04922949389819297,8.309849833851752,7.36585904258407,-0.06184324580068543,0.05128072281061768
4,4.0,9.527489702927772,60.20395881006863,1.1428571428571423,4.930635834412707,0.2527991050612516,0.589643658511383,0.07851014099145459,-0.239727900937472,4.989427155224016,2.525661681550915,-0.028659220696246566,0.06988691659744005,8.23199694355626,7.257762702724873,-0.061122165470827945,0.07279887145566674
5,5.0,9.527489702927772,60.20244851258579,1.1428571428571423,5.7772852294775285,0.29620774779232234,0.7817611222132277,0.10409028409047737,-0.355531145798228,4.873007004560302,2.465853088203666,-0.02865738758259156,0.09265744413357797,8.141826902884935,7.136372242902529,-0.06032725529021994,0.09651817097247706
6,6.0,9.527489702927772,60.20093821510295,1.1428571428571423,6.582643046298914,0.33749932603575594,0.9877438787651742,0.13151656948380966,-0.46920999710882705,4.758722566282885,2.407138346120171,-0.02865558800859288,0.11707134144233494,8.040493221134621,7.003828610003698,-0.059474902393728414,0.12194931400243222
7,7.0,9.527489702927772,60.19942791762011,1.1428571428571423,7.348723098911073,0.3767770902449837,1.2041855286631948,0.16033544034696276,-0.5807720588650178,4.64656619581439,2.349513711894856,-0.02865382185908361,0.14272486847733018,7.929133741960002,6.862047124554943,-0.05857919392397533,0.14867173799721906
8,8.0,9.527489702927772,60.19791762013728,1.1428571428571423,8.077440986478814,0.4141392552894016,1.4281666092140515,0.19015817473854552,-0.6902259418143828,4.53652923646328,2.2929749178216325,-0.02865208900283627,0.16927199888382138,7.808856712502146,6.712737639282189,-0.057652205393859485,0.176324998837314
9,9.0,9.527489702927772,60.196407322654444,1.1428571428571423,8.770618883293249,0.4496792460427045,1.6571931507954083,0.22065270446134821,-0.7975812491222055,4.428602033834557,2.237517179198787,-0.028650389292686308,0.1964171374417516,7.680730322593586,6.5574231837389405,-0.05670425429922334,0.20460118483515793
