,t,depth,so2_emitted,so2_pool,so2_oxidised,so4_pool,so4_removed,d34S_so2_pool,d34S_so4_pool,d33S_so4_pool,D33S_so4_pool,f_volc,d34S_so4_tot,d33S_so4_tot,D33S_so4_tot
0,0,60.25,1.1428571428571428,1.0340999063268108,0.10875723653033198,0.09597792437167818,0.012779312158653792,-1.639317715295574,15.587176999980468,7.950755331939785,-0.07059101038620064,0.01081858588599759,8.55257423190736,7.616974247856719,-0.06363741977738685
1,1,60.24828375286041,1.1428571428571428,1.96979219555879,0.20716485362516368,0.2675225626231026,0.035620215373739265,-2.4167511952430942,14.796329075763115,7.641829683286527,-0.07798638134470792,0.030155015740622213,8.666237986351835,7.61418331285199,-0.063996355472649
2,2,60.246567505720826,1.1428571428571428,2.81644159062361,0.29620774779232256,0.49749025283466525,0.06624005758075995,-3.166214309852755,14.03393413940579,7.1411373175254145,-0.07234569062664065,0.05607686416405437,8.787329279831544,7.586844982460193,-0.06405396620901063
3,3,60.244851258581235,1.1428571428571428,3.5825216432357694,0.37677709024498385,0.7715382222986541,0.1027291207809949,-3.887907609632979,13.29978817994526,7.009419015285179,-0.050273453794158485,0.0869674206533577,8.895181377831397,7.5608036808790935,-0.062405753287120586
4,4,60.243135011441645,1.1428571428571428,4.275699540050208,0.4496792460427049,1.0777206331934506,0.14349683514790842,-4.582082841546931,12.593635106579404,6.415988863061717,-0.12603466665028762,0.12148015606342481,8.97589243067534,7.467871290262597,-0.07115063494684612
5,5,60.24141876430206,1.1428571428571428,4.902912838443381,0.51564384446397,1.4061392162209954,0.18722526143642507,-5.249041442511038,11.915168281164457,6.27769438460235,0.03014833131320671,0.1584993421971226,9.020800807621157,7.401627344651713,-0.04870844314142315
6,6,60.23970251716247,1.1428571428571428,5.470438899919277,0.5753310813812466,1.748641400197355,0.23282889740488685,-5.88913270072966,11.264032388603962,5.677742262459207,-0.1146328363477167,0.19710602511663158,9.025246876979327,7.231808948541934,-0.07362786292440444
7,7,60.23798627002288,1.1428571428571428,5.983957716053244,0.6293383267231756,2.0985597434163306,0.2794199835042002,-6.50275160889302,10.639825620695875,5.534225311695007,-0.057970583198452275,0.23654865397095548,8.987573233671116,7.121515786169629,-0.0622388761426938
8,8,60.236270022883296,1.1428571428571428,6.448608755756784,0.6782061031536012,2.4504872588006568,0.32627858776927493,-7.090336437010181,10.0421021451782,5.0781815630329685,-0.09570442354700504,0.2762177557540585,8.908322798305068,6.91307243921362,-0.07243985138881194
9,9,60.234553775743706,1.1428571428571428,6.869042402809861,0.7224234958040662,2.8000839131160196,0.37282684148870354,-7.652366055806326,9.470374828516093,4.929334667058027,-0.029678137293265294,0.3156241239885046,8.789600550204403,6.7661920228989025,-0.052867003673487886
10,10,60.23283752860412,1.1428571428571428,7.24946649846481,0.7624330472021951,3.1439101828859126,0.41860677743230207,-8.189357044145474,8.924118178390561,4.70184355634462,-0.07859049230352078,0.3543800572275172,8.634570063467965,6.581553209712067,-0.06888739057527317
11,11,60.23112128146453,1.1428571428571428,7.593688454935898,0.798635186386055,3.4792840766817514,0.4632612925902161,-8.701860615788814,8.402771469968151,4.2354869463083755,-0.04475448263896453,0.392183242675674,8.447060621690913,6.288592737781283,-0.05618562332125314
12,12,60.22940503432494,1.1428571428571428,7.905153361260484,0.8313922365325573,3.804158494456411,0.5065178187578978,-9.190459401976824,7.905742018833539,4.163689178839469,-0.009966366877556254,0.42880293219144094,8.231264606815596,6.134110310864045,-0.04057967493810939
13,13,60.22768878718536,1.1428571428571428,8.186978462908034,0.861032041209593,4.117016197692218,0.5481743379737858,-9.655764126813683,7.432408562972226,3.938295449399387,0.056170879164429977,0.46406810337231824,7.991508188451128,5.9078603179041655,-0.007997451680909547
14,14,60.22597254004577,1.1428571428571428,8.441984360220523,0.8878512455446519,4.41678001650302,0.5880874267338485,-10.098410212272757,6.982124716344185,3.423487701128547,-0.06234876821276103,0.4978573381421864,7.732081166043928,5.5273831098452435,-0.06295766679897435
15,15,60.224256292906176,1.1428571428571428,8.6727232379287,0.9121182651489653,4.702736227746251,0.6261620539057352,-10.519054348853917,6.554222457398673,3.2296245895053755,-0.07688344306910899,0.530090185968621,7.4571142099876155,5.2895678303019675,-0.07062326971997532
16,16,60.22254004576659,1.1428571428571428,8.881504408274683,0.9340759725111605,4.974469307178224,0.6623428930791875,-10.918371066582333,6.1480156172426526,3.1271001831723044,-0.07990521301026732,0.5607198091569393,7.170493771489005,5.097809312366321,-0.07272568609357404
17,17,60.220823798627,1.1428571428571428,9.070417423385067,0.9539441277467583,5.231806493562199,0.6966069413627832,-11.297049339178189,5.76280333406598,2.989762875171831,-0.06071830767839792,0.5897267341428846,6.875806638452758,4.886686280787424,-0.06188473973113959
