,t,depth,so2_emitted,so2_pool,so2_oxidised,so4_pool,so4_removed,d34S_so2_pool,d34S_so4_pool,d33S_so4_pool,D33S_so4_pool,f_volc,d34S_so4_tot,d33S_so4_tot,D33S_so4_tot
0,0,60.25,1.1428571428571428,1.0340999063268108,0.10875723653033198,0.09597792437167818,0.012779312158653792,0.5044604763169147,-4.796577661841384,-2.3018749909342606,0.08682433740359041,0.01081858588599759,8.332050831419338,7.506055286151323,-0.06193440831754881
1,1,60.24828375286041,1.1428571428571428,1.96979219555879,0.20716485362516368,0.2675225626231026,0.035620215373739265,0.7442105851349634,-4.558097836686037,-2.5025262086968425,0.04605430459270199,0.030155015740622213,8.082604938156209,7.308280101250758,-0.06025590663572882
2,2,60.246567505720826,1.1428571428571428,2.81644159062361,0.29620774779232256,0.49749025283466525,0.06624005758075995,0.9756602652690738,-4.327874461510839,-2.252115155379597,0.10204856811901752,0.05607686416405437,7.757656633111578,7.060100839478431,-0.05427448305033941
3,3,60.244851258581235,1.1428571428571428,3.5825216432357694,0.37677709024498385,0.7715382222986541,0.1027291207809949,1.1988451480640094,-4.105872093759566,-2.4039578214282153,0.09303934352622445,0.0869674206533577,7.381455999058672,6.742146577752066,-0.049942208957549444
4,4,60.243135011441645,1.1428571428571428,4.275699540050208,0.4496792460427049,1.0777206331934506,0.14349683514790842,1.4138172677911065,-3.892038974856682,-1.7281984941323048,0.04789797894466652,0.12148015606342481,6.973210170451728,6.478514139100896,-0.05002127001544673
5,5,60.24141876430206,1.1428571428571428,4.902912838443381,0.51564384446397,1.4061392162209954,0.18722526143642507,1.6206446722755175,-3.686307417519852,-1.6959808616675565,0.07553311047381328,0.1584993421971226,6.5479771720753,6.137805063224453,-0.04151498549870533
6,6,60.23970251716247,1.1428571428571428,5.470438899919277,0.5753310813812466,1.748641400197355,0.23282889740488685,1.8194109254798807,-3.4885943005388276,-1.7634735439144844,0.07722865158632519,0.19710602511663158,6.11741527025286,5.765100478912565,-0.03581080766476287
7,7,60.23798627002288,1.1428571428571428,5.983957716053244,0.6293383267231756,2.0985597434163306,0.2794199835042002,2.0102145088656265,-3.2988016642425677,-1.393759934924077,0.08189467980468379,0.23654865397095548,5.690409711216093,5.482710201351248,-0.029153936442008286
8,8,60.236270022883296,1.1428571428571428,6.448608755756784,0.6782061031536012,2.4504872588006568,0.32627858776927493,2.1931681296039063,-3.1168173986240166,-1.151155766898948,0.09857708610816474,0.2762177557540585,5.2735955737678,5.192418862104847,-0.0187758488073505
9,9,60.234553775743706,1.1428571428571428,6.869042402809861,0.7224234958040662,2.8000839131160196,0.37282684148870354,2.3683979447828296,-2.942516015021268,-1.6751892496580378,0.061887575900421155,0.3156241239885046,4.871792751547994,4.681644947324267,-0.02396665565934794
