,t,depth,so2_emitted,so2_pool,so2_oxidised,so4_pool,so4_removed,d34S_so2_pool,d34S_so4_pool,d33S_so4_pool,D33S_so4_pool,f_volc,d34S_so4_tot,d33S_so4_tot,D33S_so4_tot
0,0,60.25,1.1428571428571428,1.0871193422865302,0.05573780057061255,0.04918843636044347,0.006549364210169077,-0.8279389437328977,16.148259004657994,8.369680028050164,0.007560200535161599,0.005830009531789846,8.52036888720338,7.617733279442355,-0.06314672956998807
1,1,60.24828375286041,1.1428571428571428,2.121219248613341,0.1087572365303319,0.139386567102749,0.0185591057880264,-1.231227159658843,15.738118815132207,7.8548243304741305,-0.13660600002540768,0.01652065149739119,8.595618354256258,7.617313462433272,-0.06476811389123854
2,2,60.246567505720826,1.1428571428571428,3.104885507384836,0.1591908840856482,0.26349367585536376,0.03508377533303343,-1.627411782936572,15.335202910175427,7.8226276635267045,-0.06577423297127183,0.031230320690545023,8.689863860025588,7.619860344363973,-0.06363047744980488
3,3,60.244851258581235,1.1428571428571428,4.040577796616815,0.20716485362516354,0.4153546944415859,0.05530383503894146,-2.0165099471672887,14.939493865081754,7.458582416854043,-0.12746885035941347,0.04922949389819297,8.793849811206332,7.605705879138118,-0.06670750196200051
4,4,60.243135011441645,1.1428571428571428,4.930635834412707,0.2527991050612516,0.5896436585113829,0.07851014099145459,-2.3985421208223556,14.550970863614898,7.457989870137016,0.0050422035096087114,0.06988691659744004,8.900223751247351,7.602467911471793,-0.05876687684813838
5,5,60.24141876430206,1.1428571428571428,5.777285229477527,0.2962077477923224,0.7817611222132279,0.1040902840904774,-2.7735320793352836,14.169609726390586,7.111807700828532,-0.0044855749761207875,0.09265744413357796,9.003226350214993,7.566854522868958,-0.058087556914028574
6,6,60.23970251716247,1.1428571428571428,6.582643046298914,0.33749932603575605,0.9877438787651741,0.13151656948380971,-3.141506871385147,13.79538294516558,6.962539290764624,-0.029089463293274775,0.11707134144233493,9.098427173849217,7.537135509400904,-0.05952569675532481
7,7,60.23798627002288,1.1428571428571428,7.348723098911073,0.3767770902449836,1.2041855286631948,0.16033544034696276,-3.5024967794871076,13.428259722916724,6.870148342569937,-0.061565122343232304,0.1427248684773302,9.182499795623905,7.507254107652107,-0.06327645495699336
8,8,60.236270022883296,1.1428571428571428,8.077440986478813,0.4141392552894019,1.4281666092140513,0.1901581747385455,-3.8565352750136173,13.068206019583917,6.623659903934209,-0.09323487075474368,0.16927199888382133,9.253030695411667,7.445801343417618,-0.06858426195448243
9,9,60.234553775743706,1.1428571428571428,8.77061888329325,0.44967924604270454,1.6571931507954076,0.22065270446134824,-4.20365896779995,12.715184603321328,6.454619184699695,-0.0617138996543698,0.19641713744175154,9.308357150066891,7.3857342879593,-0.0631984943582409
10,10,60.23283752860412,1.1428571428571428,9.429990095156663,0.48348593099372933,1.889142659106549,0.2515364226825877,-4.543907550494386,12.369155107091911,6.309298739620495,-0.041384999829974234,0.22390871766680207,9.347429980516523,7.321341154900963,-0.05859588661530209
11,11,60.23112128146453,1.1428571428571428,10.057203393549836,0.5156438444639696,2.122216640778222,0.28256986279229673,-4.877323737839334,12.030074090418674,6.121946663327105,0.0008604200734119161,0.2515335749564476,9.369697590369174,7.238192313530386,-0.04735712608799005
12,12,60.22940503432494,1.1428571428571428,10.653827138419569,0.54623339798741,2.354898893912414,0.3135511448532181,-5.20395320108058,11.697895106089096,5.770708853669371,-0.05101286850295317,0.27911200301848677,9.375008224424704,7.099027790210054,-0.06005893189015367
13,13,60.22768878718536,1.1428571428571428,11.221353199895464,0.5753310813812461,2.5859188770571904,0.3443110982364694,-5.523844497717145,11.372568771599312,5.704077514756767,0.00962010114347045,0.3064934122159357,9.363527802043876,7.028152332276807,-0.041131730503559
14,14,60.22597254004577,1.1428571428571428,11.761200688742338,0.6030096540102686,2.8142195512306767,0.3747089798367826,-5.837048996820249,11.054042845104028,5.569541133739309,-0.005754980236805096,0.3335525180755364,9.335671049021487,6.931614888573206,-0.044279902466039266
15,15,60.224256292906176,1.1428571428571428,12.274719504876305,0.629338326723175,3.0389291611650564,0.4046287167887952,-6.143620800158844,10.742262305631245,5.323336484463148,-0.12722762509254082,0.36018599668832146,9.292043970133973,6.788502381919117,-0.08649306290500776
16,16,60.22254004576659,1.1428571428571428,12.763193712817706,0.6543829349157406,3.2593364850695234,0.43397561101127385,-6.443616659384865,10.437169437302884,5.4343884296479406,0.03596518322557252,0.38630955121287003,9.233395979609444,6.771580202749217,-0.02511331127492166
17,17,60.220823798627,1.1428571428571428,13.227844752521248,0.6782061031536006,3.4748691379018384,0.4626734503212859,-6.737095889537303,10.138703917302205,4.962503267216256,-0.11963783927959604,0.4118553402925743,9.160580244228179,6.521569157380824,-0.08665676274840015
18,18,60.21910755148741,1.1428571428571428,13.669834493612106,0.700867401766284,3.6850745622664345,0.49066197740168765,-7.024120279134793,9.846802907306884,4.914913425375422,-0.07731460989024441,0.43676972502111705,9.074520998645678,6.43473979476564,-0.06956836824081468
19,19,60.21739130434783,1.1428571428571428,14.090268140665183,0.7224234958040655,3.8896033843948357,0.5178946736756643,-7.30475399713304,9.56140114811399,4.968135607066992,-0.03980534759984167,0.4610112962269308,8.976186769240751,6.393862116558623,-0.05260957478019335
20,20,60.21567505720824,1.1428571428571428,14.490196996792218,0.7429282867301078,4.088194850892802,0.544336820232141,-7.579063497031857,9.282431057160867,4.759326701417654,-0.05656094852879434,0.4845491483784244,8.866568595107939,6.230421892556697,-0.06016932122150185
21,21,60.21395881006865,1.1428571428571428,14.870621092447166,0.7624330472021944,4.280664095659262,0.5699638024357354,-7.8471174184152614,9.009822828659031,4.549900145131902,-0.1380786285003488,0.5073613704084629,8.746662466059199,6.059060934414381,-0.1013685478983346
22,22,60.21224256292906,1.1428571428571428,15.232491686023227,0.7809865492810817,4.466891016125173,0.5947596288151704,-8.108986486219827,8.74350453603645,4.441439914467216,-0.06407580168255045,0.5294337272818607,8.61745531050202,5.934021451944821,-0.06383372701175075
23,23,60.21052631578947,1.1428571428571428,15.576713642494315,0.7986351863860544,4.646810564194185,0.6187156383170418,-8.36474340802007,8.48340223639732,4.316121201507261,-0.04775088980291109,0.5507585092389712,8.479913963326648,5.797361373977145,-0.05485361304628661
