,t,temp,depth,so2_emitted,so2_pool,so2_oxidised,so4_pool,so4_removed,d34S_so2_pool,d34S_so4_pool,d33S_so4_pool,D33S_so4_pool,f_volc,d34S_so4_tot,d33S_so4_tot,D33S_so4_tot,so4_norm
0,0.0,5.608554927042987,60.15999999999999,4.440892098500626e-16,2.220446049250313e-16,2.0816681711721685e-17,6.938893903907228e-18,8.673617379884035e-19,0.05193674198755736,1.0129828628328752,0.5046917013387942,0.02754144826112563,1.734723475976807e-18,0.005905699745855449,0.002942357429420427,0.00016056690588166,8.0426496337911625e-19
1,0.0,5.608554927042987,60.15894736842104,4.440892098500626e-16,8.881784197001252e-16,1.3877787807814457e-17,0.0,6.938893903907228e-18,0.07725813058602196,0.9877043621246286,0.49167626375418516,0.02754220700993126,0.0,0.016317519549114087,0.008122812203022344,0.00045501520348007867,6.43411970703293e-18
2,0.0,5.608554927042987,60.157894736842096,4.440892098500626e-16,0.0,0.0,0.0,6.938893903907228e-18,0.10214848730807741,0.962856165179041,0.4788831896811879,0.0275429528461569,6.938893903907228e-18,0.030070306817409808,0.01495567558705463,0.0008601752501500397,6.43411970703293e-18
3,0.0,5.608554927042987,60.156842105263145,4.440892098500626e-16,8.881784197001252e-16,5.551115123125783e-17,1.1102230246251565e-16,2.0816681711721685e-17,0.1266082995816504,0.9384377853154282,0.4663122314927487,0.027543685784439248,0.0,0.04619881722601961,0.022956315154925026,0.0013559617112587966,1.930235912109879e-17
4,0.0,5.608554927042987,60.1557894736842,4.440892098500626e-16,0.0,0.0,1.1102230246251565e-16,0.0,0.1506382699187434,0.9144485211339678,0.4539630319110736,0.027544405845639316,1.3877787807814457e-17,0.06390798752914198,0.0317260765494902,0.0019249935940602349,0.0
5,0.0,5.608554927042987,60.15473684210525,4.440892098500626e-16,1.7763568394002505e-15,5.551115123125783e-17,2.220446049250313e-16,2.7755575615628914e-17,0.17423931461562084,0.8908874578136218,0.44183512472517555,0.027545113057195567,1.3877787807814457e-17,0.082547354851671,0.04093931338547539,0.0025522597742501877,2.573647882813172e-17
6,0.0,5.608554927042987,60.15368421052631,4.440892098500626e-16,0.0,1.1102230246251565e-16,1.1102230246251565e-16,5.551115123125783e-17,0.19741256207633218,0.8677534687855201,0.4299279357040387,0.027545807452769213,1.3877787807814457e-17,0.1015890626319601,0.05033224015640573,0.00322482462960796,5.147295765626344e-17
7,0.0,5.608554927042987,60.15263157894736,4.440892098500626e-16,0.0,5.551115123125783e-17,0.0,0.0,0.22015935076575238,0.8450452177766907,0.4182407837020578,0.027546489072447822,2.7755575615628914e-17,0.12060896756457504,0.05969336084573172,0.003931569029877329,0.0
8,0.0,5.608554927042987,60.15157894736841,4.440892098500626e-16,1.7763568394002505e-15,2.7755575615628914e-16,2.220446049250313e-16,2.7755575615628914e-17,0.2424812267992089,0.8227611612164034,0.40677288195396977,0.02754715796244703,5.551115123125783e-17,0.13927042636307463,0.06885525882008117,0.004662962491871783,2.573647882813172e-17
9,0.0,5.608554927042987,60.15052631578946,4.440892098500626e-16,1.7763568394002505e-15,5.551115123125783e-17,6.661338147750939e-16,2.7755575615628914e-17,0.2643799411769989,0.800899550996924,0.3955233395542199,0.0275478141751725,5.551115123125783e-17,0.1573103971851999,0.07768756214664177,0.005410862803064688,2.573647882813172e-17
